Id,Age Category,2015,TotalRaces,Rank,LastRace
1,0.307692307692,0,0,0.322770253003,9
2,0.769230769231,0,0,0.584973166369,9
3,0.307692307692,0,0,0.581650907232,9
4,0.384615384615,1,1,0.391004344493,1
7,0.461538461538,0,1,0.153973933044,2
8,0.307692307692,0,0,0.233069256325,9
9,0.615384615385,1,3,0.483069256325,1
10,0.230769230769,0,0,0.49424993611,9
11,0.461538461538,1,2,0.654825794361,1
12,0.307692307692,0,0,0.197035522617,9
13,0.307692307692,0,0,0.00536672629696,9
14,0.230769230769,0,0,0.238691541017,9
15,0.461538461538,1,4,0.611244569384,1
16,0.538461538462,1,5,0.307181190902,1
18,0.615384615385,1,1,0.493355481728,1
19,0.230769230769,0,0,0.646562739586,9
22,0.538461538462,0,1,0.351137234858,5
23,0.230769230769,1,1,0.308075645285,1
24,0.307692307692,0,0,0.141068234091,9
25,0.615384615385,0,0,0.201891132124,9
26,0.384615384615,0,0,0.426782519806,9
27,0.461538461538,0,0,0.332737030411,9
30,0.538461538462,0,0,0.676463071812,9
31,0.538461538462,1,1,0.0875287503194,1
32,0.384615384615,0,1,0.598134423716,5
33,0.307692307692,0,0,0.242524916944,9
34,0.538461538462,0,0,0.706107845643,9
36,0.692307692308,0,0,0.648351648352,9
37,0.538461538462,1,1,0.376948632763,1
38,0.615384615385,0,0,0.09583439816,9
39,0.461538461538,0,0,0.256836187069,9
40,0.538461538462,0,1,0.133529261436,3
41,0.384615384615,0,1,0.510989010989,2
45,0.538461538462,1,2,0.530794786609,1
46,0.461538461538,0,1,0.338614873499,2
47,0.153846153846,0,0,0.689240991567,9
48,0.307692307692,0,0,0.523639151546,9
49,0.384615384615,0,0,0.0937899309992,9
50,0.384615384615,1,1,0.163812931255,1
52,0.461538461538,0,0,0.0564784053156,9
53,0.615384615385,0,1,0.779836442627,2
54,0.538461538462,0,0,0.499361104012,9
55,0.461538461538,0,1,0.00536672629696,5
56,0.461538461538,0,0,0.165857398416,9
57,0.384615384615,0,1,0.406593406593,4
58,0.692307692308,0,0,0.354715052389,9
59,0.461538461538,0,0,0.304370048556,9
60,0.230769230769,0,0,0.563506261181,9
61,0.538461538462,0,0,0.749552772809,9
62,0.538461538462,0,0,0.232047022745,9
64,0.538461538462,0,1,0.086250958344,2
65,0.384615384615,0,0,0.193713263481,9
66,0.461538461538,1,3,0.161257347304,1
67,0.538461538462,1,2,0.47414600903,1
68,0.538461538462,0,3,0.30258113979,4
70,0.692307692308,1,4,0.398006644518,1
71,0.0769230769231,0,0,0.215180168669,9
73,0.461538461538,0,0,0.321748019422,9
74,0.538461538462,1,2,0.487946162365,1
75,0.153846153846,0,0,0.712752363915,9
76,0.384615384615,0,0,0.240736008178,9
78,0.461538461538,0,0,0.57653973933,9
80,0.307692307692,0,0,0.585484283159,9
81,0.615384615385,0,0,0.0322003577818,9
82,0.461538461538,0,0,0.568872987478,9
84,0.846153846154,0,0,0.700996677741,9
85,0.384615384615,0,0,0.207768975211,9
86,0.461538461538,0,0,0.447993866599,9
87,0.153846153846,0,1,0.826731408127,3
89,0.384615384615,0,0,0.481472016356,9
90,0.230769230769,0,1,0.350753897266,3
91,0.384615384615,0,0,0.594684385382,9
92,0.307692307692,0,1,0.433086293551,3
93,0.461538461538,0,0,0.47968310759,9
95,0.230769230769,0,0,0.746486072067,9
96,0.461538461538,0,0,0.000255558395093,9
97,0.692307692308,0,0,0.470738563762,9
98,0.307692307692,0,3,0.265269614107,6
99,0.307692307692,0,0,0.386915410171,9
100,0.384615384615,0,0,0.424226935855,9
102,0.538461538462,0,0,0.450549450549,9
105,0.615384615385,1,2,0.190050259818,1
107,0.615384615385,0,1,0.647329414771,4
108,0.307692307692,0,0,0.388704318937,9
109,0.307692307692,0,1,0.350242780475,3
111,0.538461538462,0,0,0.706874520828,9
112,0.230769230769,1,1,0.473038589318,1
116,0.230769230769,0,0,0.355992844365,9
117,0.538461538462,0,0,0.0444671607462,9
119,0.307692307692,0,0,0.0725785842065,9
120,0.461538461538,0,0,0.485305392282,9
121,0.461538461538,0,0,0.263480705341,9
122,0.0769230769231,0,0,0.4531050345,9
124,0.307692307692,0,0,0.216969077434,9
125,0.0769230769231,0,0,0.600051111679,9
126,0.307692307692,0,0,0.240224891388,9
127,0.384615384615,0,0,0.121901354459,9
128,0.538461538462,0,0,0.485049833887,9
132,0.384615384615,1,1,0.554561717352,1
133,0.692307692308,1,1,0.5468949655,1
138,0.615384615385,1,2,0.391259902888,1
140,0.461538461538,0,0,0.210324559162,9
142,0.384615384615,0,1,0.0448504983389,2
143,0.461538461538,0,0,0.193457705086,9
145,0.538461538462,0,3,0.534819831331,4
147,0.153846153846,0,0,0.584717607973,9
148,0.307692307692,0,0,0.0733452593918,9
149,0.153846153846,0,0,0.600817786864,9
150,0.230769230769,0,0,0.750575006389,9
151,0.615384615385,1,4,0.367544083823,1
153,0.307692307692,0,0,0.54893943266,9
154,0.384615384615,1,1,0.489266547406,1
156,0.461538461538,0,0,0.46511627907,9
157,0.384615384615,0,0,0.027344748275,9
158,0.538461538462,0,3,0.420776897521,2
159,0.615384615385,0,0,0.545361615129,9
160,0.538461538462,0,0,0.260158446205,9
162,0.307692307692,0,0,0.147201635574,9
163,0.769230769231,1,6,0.523164543098,1
164,0.538461538462,0,0,0.303603373371,9
165,0.615384615385,1,2,0.445779027174,1
166,0.615384615385,0,0,0.153590595451,9
167,0.384615384615,0,0,0.741374904166,9
168,0.461538461538,0,1,0.462944032711,2
169,0.538461538462,1,1,0.107845642729,1
171,0.230769230769,0,0,0.19064656274,9
172,0.615384615385,0,0,0.20674674163,9
173,0.307692307692,0,0,0.0751341681574,9
174,0.384615384615,0,0,0.595706618962,9
175,0.230769230769,0,0,0.746997188858,9
176,0.615384615385,0,0,0.0776897521084,9
178,0.384615384615,1,1,0.00779453105035,1
179,0.384615384615,0,0,0.241758241758,9
182,0.307692307692,0,0,0.272169690774,9
183,0.538461538462,0,0,0.227702530028,9
184,0.384615384615,0,0,0.583439815998,9
186,0.384615384615,0,0,0.721185790953,9
189,0.538461538462,0,0,0.370048556095,9
190,0.615384615385,0,0,0.148734985944,9
191,0.461538461538,0,0,0.146179401993,9
192,0.384615384615,0,0,0.39739330437,9
196,0.461538461538,1,2,0.380100519635,1
198,0.615384615385,1,2,0.449697589232,1
199,0.384615384615,0,0,0.415026833631,9
200,0.538461538462,0,0,0.714285714286,9
201,0.615384615385,0,1,0.631484794275,3
204,0.307692307692,0,0,0.271658573984,9
205,0.384615384615,1,2,0.333248147202,1
207,0.384615384615,0,0,0.656018400204,9
208,0.307692307692,0,0,0.0728341426016,9
209,0.538461538462,0,0,0.131357015078,9
210,0.307692307692,0,0,0.161512905699,9
211,0.846153846154,0,0,0.69946332737,9
213,0.384615384615,0,0,0.704318936877,9
214,0.769230769231,1,3,0.312739585995,1
217,0.307692307692,0,0,0.383082034245,9
219,0.230769230769,0,0,0.42397137746,9
220,0.230769230769,0,0,0.467927421416,9
221,0.769230769231,0,1,0.7395859954,7
224,0.307692307692,0,0,0.0306670074112,9
225,0.307692307692,0,0,0.225146946077,9
226,0.538461538462,1,1,0.10362892921,1
227,0.615384615385,0,0,0.53335037056,9
228,0.461538461538,0,0,0.285714285714,9
230,0.307692307692,0,0,0.393559928444,9
233,0.461538461538,0,0,0.0132890365449,9
236,0.615384615385,0,0,0.62969588551,9
237,0.538461538462,0,0,0.201380015334,9
238,0.384615384615,0,0,0.483260925121,9
240,0.153846153846,0,1,0.122540250447,3
241,0.538461538462,0,0,0.248147201636,9
245,0.384615384615,0,0,0.392793253258,9
247,0.615384615385,0,0,0.703552261692,9
251,0.538461538462,0,0,0.442116023511,9
253,0.461538461538,1,1,0.207257858421,1
254,0.230769230769,0,0,0.536928188091,9
255,0.461538461538,0,0,0.776897521084,9
256,0.307692307692,0,0,0.541017122412,9
257,0.384615384615,0,0,0.0207002300026,9
258,0.538461538462,0,0,0.573728596984,9
259,0.307692307692,0,0,0.613340148224,9
260,0.384615384615,0,0,0.196524405827,9
261,0.538461538462,0,0,0.0500894454383,9
262,0.384615384615,0,0,0.473038589318,9
265,0.461538461538,0,0,0.329925888065,9
266,0.538461538462,0,0,0.52031689241,9
267,0.307692307692,0,0,0.776641962688,9
268,0.461538461538,0,0,0.253002811142,9
270,0.384615384615,0,0,0.541783797598,9
271,0.615384615385,1,5,0.0634636681148,1
272,0.384615384615,0,0,0.195502172246,9
274,0.692307692308,0,0,0.512650140557,9
275,0.384615384615,0,0,0.159723996933,9
276,0.538461538462,0,0,0.576284180935,9
277,0.461538461538,0,0,0.319703552262,9
283,0.153846153846,0,0,0.115001277792,9
284,0.230769230769,0,0,0.690518783542,9
285,0.307692307692,0,0,0.407104523384,9
286,0.384615384615,0,0,0.451827242525,9
287,0.153846153846,1,1,0.631612573473,1
288,0.461538461538,0,0,0.501150012778,9
290,0.615384615385,0,0,0.676718630207,9
291,0.692307692308,1,1,0.614617940199,1
292,0.461538461538,0,3,0.435152057245,5
293,0.384615384615,0,0,0.351903910043,9
294,0.384615384615,0,0,0.391004344493,9
295,0.384615384615,1,1,0.220930232558,1
297,0.461538461538,0,0,0.501916687963,9
298,0.307692307692,0,0,0.513416815742,9
301,0.538461538462,0,0,0.616406848965,9
302,0.384615384615,0,0,0.576795297726,9
303,0.538461538462,0,0,0.283669818554,9
305,0.461538461538,0,0,0.332481472016,9
306,0.153846153846,0,1,0.640429338104,4
309,0.230769230769,0,0,0.508816764631,9
314,0.461538461538,0,3,0.52970866343,3
316,0.461538461538,0,0,0.194479938666,9
317,0.615384615385,0,0,0.255047278303,9
318,0.384615384615,0,0,0.68591873243,9
319,0.153846153846,0,0,0.71300792231,9
320,0.153846153846,1,1,0.719652440583,1
321,0.461538461538,0,0,0.406337848198,9
322,0.307692307692,1,4,0.323383593151,1
323,0.461538461538,1,2,0.123093960303,1
324,0.461538461538,1,3,0.0797981088679,1
325,0.307692307692,0,0,0.516994633274,9
326,0.692307692308,1,5,0.723059885851,1
327,0.461538461538,0,0,0.524405826731,9
329,0.538461538462,0,0,0.626373626374,9
330,0.461538461538,0,0,0.349092767697,9
331,0.692307692308,0,0,0.259647329415,9
332,0.307692307692,0,0,0.343981599796,9
334,0.461538461538,0,0,0.141834909277,9
335,0.538461538462,0,0,0.61564017378,9
336,0.692307692308,0,0,0.170201891132,9
340,0.307692307692,0,0,0.107078967544,9
341,0.307692307692,0,1,0.416560184002,7
343,0.384615384615,0,0,0.225913621262,9
345,0.230769230769,0,0,0.755941732686,9
346,0.230769230769,1,2,0.571087826902,1
347,0.461538461538,1,4,0.487051707982,1
348,0.615384615385,0,0,0.31510350115,9
350,0.384615384615,0,0,0.435727063634,9
351,0.461538461538,1,3,0.0369920776898,1
353,0.461538461538,0,1,0.493994377715,3
356,0.461538461538,0,2,0.73507113042,2
357,0.384615384615,0,0,0.417837975978,9
358,0.307692307692,0,0,0.653462816254,9
359,0.307692307692,0,0,0.538972655252,9
360,0.538461538462,0,0,0.119601328904,9
361,0.461538461538,0,0,0.22029133657,9
362,0.615384615385,0,0,0.603373370815,9
363,0.307692307692,0,0,0.155635062612,9
366,0.538461538462,0,0,0.0232558139535,9
367,0.307692307692,1,3,0.782711474572,1
368,0.0769230769231,0,0,0.474571939688,9
369,0.538461538462,0,0,0.30002555584,9
370,0.384615384615,0,0,0.163812931255,9
371,0.384615384615,0,0,0.0375670840787,9
372,0.307692307692,0,0,0.560695118835,9
373,0.461538461538,0,0,0.184257602862,9
375,0.461538461538,1,1,0.448760541784,1
376,0.461538461538,0,0,0.509838998211,9
378,0.769230769231,1,4,0.48801431127,1
